Month_Year,State_Name,Revenue_Amt,Net_Result
2022-04-01,California,17940.990000000002,-4485.25
2022-05-01,California,40473.730000000003,-14165.809999999999
2022-06-01,California,23403.959999999999,-3510.5900000000001
2022-07-01,California,44735.779999999999,2661.1100000000001
2022-08-01,California,47321.029999999999,5678.5200000000004
2022-09-01,California,7050.04,-1762.51
2022-10-01,California,28764.75,-2021.2
2022-11-01,California,45158.860000000001,-3612.71
2022-12-01,California,29814.580000000002,-2087.02
2023-01-01,California,25547.66,4534.0500000000002
2023-02-01,California,48057.5,-4855.6700000000001
2023-03-01,California,25400.040000000001,3810.0100000000002
2023-04-01,California,35490.68,1860.9100000000001
2023-05-01,California,30768.5,-4649.5699999999997
2023-06-01,California,9631.6100000000006,621.40999999999997
2023-07-01,California,45492.120000000003,5705.8299999999999
2023-08-01,California,16073.950000000001,1607.4000000000001
2023-09-01,California,6892.6800000000003,344.63
2023-10-01,California,19756.43,-568.47000000000003
2023-11-01,California,47952.660000000003,7362.1400000000003
2023-12-01,California,45029.269999999997,8514.1599999999999
2024-01-01,California,36176.150000000001,7639.5500000000002
2024-02-01,California,33822.809999999998,3483.7399999999998
2024-03-01,California,49742.139999999999,9003.3400000000001
2022-04-01,Texas,34506.760000000002,328.89999999999998
2022-05-01,Texas,36883.870000000003,1530.3800000000001
2022-06-01,Texas,29482.970000000001,-3273.3800000000001
2022-07-01,Texas,31736.389999999999,-3053.5100000000002
2022-08-01,Texas,18012.189999999999,-2701.8299999999999
2022-09-01,Texas,11620.110000000001,56.259999999999998
2022-10-01,Texas,48336.089999999997,7420.8699999999999
2022-11-01,Texas,45603.459999999999,5472.4200000000001
2022-12-01,Texas,36081.739999999998,3608.1700000000001
2023-01-01,Texas,40796.029999999999,2039.8
2023-02-01,Texas,6107.6199999999999,2137.6700000000001
2023-03-01,Texas,26500.82,4703.6899999999996
2023-04-01,Texas,39130.68,9437.5100000000002
2023-05-01,Texas,14738.360000000001,1031.6900000000001
2023-06-01,Texas,19318.150000000001,5795.4499999999998
2023-07-01,Texas,15423.16,2976.3600000000001
2023-08-01,Texas,11426,5171.8599999999997
2023-09-01,Texas,23654.59,3548.1900000000001
2023-10-01,Texas,23617.59,-2068.3099999999999
2023-11-01,Texas,21598.049999999999,-1079.9000000000001
2023-12-01,Texas,11860.01,-1779
2024-01-01,Texas,11246.27,-2082.1500000000001
2024-02-01,Texas,15486.530000000001,-3871.6300000000001
2024-03-01,Texas,25968.310000000001,3895.25
2022-04-01,Florida,16968.77,-1696.8800000000001
2022-05-01,Florida,43602.25,3405.6399999999999
2022-06-01,Florida,7062.3999999999996,1765.5999999999999
2022-07-01,Florida,24899,8714.6499999999996
2022-08-01,Florida,40951.620000000003,-2047.5799999999999
2022-09-01,Florida,10485.469999999999,3669.9099999999999
2022-10-01,Florida,30242.66,5084.9499999999998
2022-11-01,Florida,14293.91,6332.1199999999999
2022-12-01,Florida,10738.92,4295.5699999999997
2023-01-01,Florida,38898.849999999999,-2722.9200000000001
2023-02-01,Florida,45277.040000000001,8149.8699999999999
2023-03-01,Florida,21850.82,5976.6300000000001
2023-04-01,Florida,34930.18,5691.5100000000002
2023-05-01,Florida,9267.8299999999999,2316.96
2023-06-01,Florida,22278.630000000001,5581.3199999999997
2023-07-01,Florida,17347.259999999998,4587.8100000000004
2023-08-01,Florida,41658.800000000003,2602.6399999999999
2023-09-01,Florida,25183.240000000002,-381.77999999999997
2023-10-01,Florida,41452.900000000001,-6867.2600000000002
2023-11-01,Florida,41557.529999999999,-9835.6900000000005
2023-12-01,Florida,40745.400000000001,-950.83000000000004
2024-01-01,Florida,24792.43,-154.13
